Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase 1,4513,Benin,Biodiversity,Full-size Project,United Nations Environment Programme,6798000,6650000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,13448000
GEF National Portfolio Formulation Document,4474,Benin,,Enabling Activity,"GEF Secretariat, The World Bank",30000,0,Project Approved,2011,GEF Trust Fund,No,No,GEF - 5,30000
"SPWA-CC Promoting Coherence, Integration and Knowledge Management under Energy Component of SPWA",4178,Benin,Climate Change,Medium-size Project,United Nations Industrial Development Organization,700000,790000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,1490000
SPWA-BD: Support to Protected Areas Management,4075,Benin,Biodiversity,Full-size Project,The World Bank,1900000,7400000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,9300000
AFLDC: Capacity Strengthening and Technical Assistance for the Implementation of Stockholm Convention National Implementation Plans (NIPs) in African Least Developed Countries (LDCs) of the ECOWAS  Subregion,3969,Benin,Chemicals and Waste,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",8000000,11631703,Completed,2011,GEF Trust Fund,No,No,GEF - 4,19631703
SPWA-CC: Benin Energy Efficiency Program,3874,Benin,Climate Change,Full-size Project,The World Bank,1818182,76600000,Completed,2009,GEF Trust Fund,No,No,GEF - 4,78418182
SPWA-BD: Incorporation of Sacred Forests into the Protected Areas System of Benin,3770,Benin,Biodiversity,Medium-size Project,United Nations Development Programme,950000,5636608,Completed,2010,GEF Trust Fund,No,No,GEF - 4,6586608
Integrated Adaptation Programme to Combat the Effects of Climate Change on Agricultural Production and Food Security,3704,Benin,Climate Change,Full-size Project,United Nations Development Programme,3410000,7879900,Completed,2010,Least Developed Countries Fund,No,No,GEF - 4,11289900
Enabling Sustainable Dryland Management Through Mobile Pastoral Custodianship: World Initiative on Sustainable Pastoralism (add on),3660,Benin,Land Degradation,Medium-size Project,United Nations Development Programme,300000,0,Project Approved,2008,GEF Trust Fund,No,No,GEF - 4,300000
West African Regional Biosafety Program,2911,Benin,Biodiversity,Full-size Project,The World Bank,5400000,18900000,Completed,2007,GEF Trust Fund,No,No,GEF - 3,24300000
Demonstration of a Regional Approach to Environmentally Sound Management of PCB Liquid Wastes and Transformers and Capacitors Containing PCBs,2770,Benin,Chemicals and Waste,Full-size Project,United Nations Environment Programme,4889399,9638942,Completed,2010,GEF Trust Fund,No,No,GEF - 4,14528341
Supporting Capacity Building for the Elaboration of National Reports and Country Profiles by African Parties to the UNCCD,2469,Benin,Land Degradation,Medium-size Project,The World Bank,900000,900000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,1800000
Project for the Elaboration of the National Programme of Action for Adaptation for Climate Change (NAPA),2461,Benin,Climate Change,Enabling Activity,United Nations Development Programme,200000,0,Completed,2004,Least Developed Countries Fund,No,No,GEF - 3,200000
Enabling Sustainable Dryland Management Through Mobile Pastoral Custodianship,2193,Benin,Land Degradation,Medium-size Project,United Nations Development Programme,950000,1875000,Completed,2005,GEF Trust Fund,No,No,GEF - 3,2825000
Technical Assistance to Francophone LDCs to Implement the UNFCCC8/CP8 Decision,2190,Benin,Climate Change,Medium-size Project,United Nations Development Programme,211126,38000,Completed,2003,Least Developed Countries Fund,No,No,GEF - 3,249126
National Capacity Needs Self-Assessment (NCSA) for Global Environmental Management,1950,Benin,,Enabling Activity,United Nations Development Programme,200000,0,Completed,2004,GEF Trust Fund,No,No,GEF - 3,200000
Enabling Activities for the Stockholm Convention on Persistent Organic Pollutants (POPs): National Implementation Plan for Benin,1821,Benin,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,489000,45000,Completed,2002,GEF Trust Fund,No,No,GEF - 3,534000
"Reducing Dependence on POPs and other Agro-Chemicals in the Senegal and Niger River Basins through Integrated Production, Pest and Pollution Management",1420,Benin,,Full-size Project,United Nations Environment Programme,4105330,4458160,Project Approved,2008,GEF Trust Fund,No,No,GEF - 3,8563490
"Capacity Needs Assessment for the Implementation of Benin's National Biodiversity Strategy and Action Plan, Second National Report, and Clearing House Mechanism (add on)",1402,Benin,Biodiversity,Enabling Activity,United Nations Development Programme,202000,40446,Project Approved,2001,GEF Trust Fund,No,No,GEF - 2,242446
Community-based Coastal and Marine Biodiversity Management Project,1234,Benin,Biodiversity,Full-size Project,The World Bank,4300000,7300000,Completed,2008,GEF Trust Fund,No,No,GEF - 3,11600000
Building Scientific and Technical Capacity for Effective Management and Sustainable Use of Dryland Biodiversity in West African Biosphere Reserves,1216,Benin,Biodiversity,Full-size Project,United Nations Environment Programme,2400000,3703000,Project Approved,2004,GEF Trust Fund,No,No,GEF - 3,6103000
Enhancing the Effectiveness and Catalyzing the Sustainability of the W-Arly-Pendjari (WAP) Protected Area System,1197,Benin,Biodiversity,Full-size Project,United Nations Development Programme,5154741,21056975,Completed,2007,GEF Trust Fund,No,No,GEF - 3,26211716
Capacity-building for Improving Greenhouse Gas Inventories (West and Francophone Central Africa),1193,Benin,Climate Change,Full-size Project,United Nations Development Programme,2694000,605585,Completed,2003,GEF Trust Fund,No,No,GEF - 3,3299585
Combating Living Resource Depletion and Coastal Area Degradation in the Guinea Current LME through Ecosystem-based Regional Actions,1188,Benin,International Waters,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",20812699,43971292,Completed,2004,GEF Trust Fund,No,No,GEF - 3,64783991
Addressing Transboundary Concerns in the Volta River Basin and its Downstream Coastal Area,1111,Benin,International Waters,Full-size Project,United Nations Environment Programme,5347380,11022231,Completed,2006,GEF Trust Fund,No,No,GEF - 3,16369611
Reversing Land and Water Degradation Trends in the Niger River Basin,1093,Benin,International Waters,Full-size Project,"The World Bank, United Nations Development Programme",13000000,29638000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,42638000
Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),1012,Benin,Climate Change,Enabling Activity,United Nations Development Programme,100000,0,Project Approved,2001,GEF Trust Fund,No,No,GEF - 2,100000
Community-based Management of On-farm Plant Genetic Resources in Arid and Semi-arid Areas of Sub-Saharan Africa,981,Benin,Biodiversity,Medium-size Project,United Nations Environment Programme,750000,1300000,Completed,2001,GEF Trust Fund,No,No,GEF - 2,2050000
Program for the Management of Forests and Adjacent Lands,793,Benin,,Full-size Project,The World Bank,6000000,16350000,Completed,2006,GEF Trust Fund,No,No,GEF - 2,22350000
Clearing House Mechanism Enabling Activity,546,Benin,Biodiversity,Enabling Activity,United Nations Development Programme,13950,0,Project Approved,1998,GEF Trust Fund,No,No,GEF - 1,13950
Preparation of First National Communication to UNFCCC,522,Benin,Climate Change,Enabling Activity,United Nations Development Programme,100425,0,Completed,1998,GEF Trust Fund,No,No,GEF - 2,100425
National Parks Conservation and Management Project,408,Benin,Biodiversity,Full-size Project,The World Bank,6760000,19131000,Completed,1998,GEF Trust Fund,No,No,GEF - 1,25891000
Water Pollution Control and Biodiversity Conservation in the Gulf of Guinea Large Marine Ecosystem (LME),393,Benin,International Waters,Full-size Project,United Nations Development Programme,6000000,512700,Completed,1991,GEF Trust Fund,No,No,Pilot Phase,6512700
Village-Based Management of Woody Savanna and the Establishment of Woodlots for Carbon Sequestration,389,Benin,Climate Change,Full-size Project,United Nations Development Programme,2500000,0,Completed,1992,GEF Trust Fund,No,No,Pilot Phase,2500000
Climate Change Training Phase II - Training Programme to Support the Implementation of the UNFCCC,299,Benin,Climate Change,Enabling Activity,United Nations Development Programme,2700000,2013000,Completed,1996,GEF Trust Fund,No,No,GEF - 1,4713000
"National Biodiversity Strategy, Action Plan and  Country Report to the CoP",194,Benin,Biodiversity,Enabling Activity,United Nations Development Programme,233820,0,Completed,1997,GEF Trust Fund,No,No,GEF - 1,233820
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Bhutan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
Enabling the Kingdom of Bhutan to prepare its Fourth National Communication (4NC) and First and Second Biennial Transparency Report (BTR1-2) to the UNFCCC,11480,Bhutan,Climate Change,Enabling Activity,Food and Agriculture Organization,1233000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,1233000
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11286,Bhutan,Biodiversity,Enabling Activity,United Nations Development Programme,35600000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,35600000
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Bhutan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
Productive and Sustainable Food Systems in Bhutan for Environmental Benefits and Gross National Happiness,11223,Bhutan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,Food and Agriculture Organization,9585933,49662083,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,59248016
Food Systems Integrated Program,11214,Bhutan,,PFD,"Food and Agriculture Organization, International Fund for Agricultural Development, International Union for Conservation of Nature, United Nations Development Programme, The World Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Enhancing the Climate Resilience of Urban Landscapes and Communities in Thimphu-Paro region of Bhutan (ECRUL),11109,Bhutan,Climate Change,Full-size Project,United Nations Development Programme,18048624,62186000,Project Approved,2024,Least Developed Countries Fund,No,No,GEF - 8,80234624
Global Biodiversity Framework Early Action Support (Asia Pacific 7),11029,Bhutan,Biodiversity,Enabling Activity,United Nations Development Programme,1917811,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917811
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella II,10960,Bhutan,Land Degradation,Enabling Activity,United Nations Environment Programme,1954338,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1954338
Advancing Climate Resilience of Water Sector in Bhutan (ACREWAS),10779,Bhutan,Climate Change,Full-size Project,United Nations Development Programme,8932420,25132000,Project Approved,2023,Least Developed Countries Fund,No,No,GEF - 7,34064420
Strengthening institutional and technical capacities for enhanced transparency in implementation and monitoring of Bhutan’s Nationally Determined Contribution (NDC),10669,Bhutan,Climate Change,Medium-size Project,Food and Agriculture Organization,1776484,1895600,Project Approved,2022,GEF Trust Fund,No,Yes,GEF - 7,3672084
GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3),10655,Bhutan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,43937623,45957000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,89894623
"Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - ASIA-PACIFIC, GRULAC, CENTRAL AND EASTERN EUROPE REGIONS",10639,Bhutan,Biodiversity,Enabling Activity,United Nations Environment Programme,1424500,1050890,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2475390
Mainstreaming Biodiversity Conservation into the Tourism Sector in Bhutan,10234,Bhutan,Biodiversity,Full-size Project,United Nations Development Programme,4854128,9072562,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,13926690
